SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
C1=C(C)C(C)=CC=C1C=O,-25.71,94.24,37.9,47.91,56.87,64.44,76.06,84.36,96.74
CC1=CC(C)=C(COO)C=C1,-21.83,106.78,44.26,55.92,66.15,74.69,87.66,96.93,110.93
C1Cc2c(C1)cccc2,14.47,81.98,30.7,42.04,51.92,60.01,72.05,80.44,92.82
CC1=C(CC)C=CC=C1,-0.21,88.91,36.48,47.42,57.11,65.25,77.74,86.76,100.46
CC1=CC2=C(COC2)C=C1,-15.72,91.94,34.22,45.44,55.4,63.66,76.07,84.76,97.5
C1=C(C)C(C)=CC=C1COO,-21.38,106.04,46.28,57.19,66.87,75.08,87.76,96.93,110.88
C=c1ccc(=C)c(c1)C,44.81,85.91,35.33,45.9,54.75,61.95,72.78,80.51,92.21
C1=CC=CC2=C1C(=O)C(=C2),15.95,83.55,30.77,40.53,48.66,55.13,64.47,70.77,79.76
O=CC1=C(COO)C=C(C)C=C1,-42.88,107.78,44.5,56.13,66.27,74.65,87.18,95.94,108.85
Cc1ccc(=C)c(=C)c1,51.03,87.51,35.38,45.66,54.42,61.62,72.52,80.32,92.11
Cc1ccc2c(c1)CC2,40.08,83.5,29.99,40.77,50.2,57.98,69.64,77.84,90.01
CC1=C(C=C)C=CC=C1,28.9,90.48,34.96,45.03,53.74,60.92,71.77,79.52,91.23
C=CC1=C(C=O)C=CC=C1,8.83,92.4,34.94,45.21,54.07,61.26,71.71,78.79,88.95
CC1=CC(C=O)=C(C=O)C=C1,-43.13,95.82,36.3,46.24,54.97,62.23,73.16,80.79,91.9
C1C=CC2CCC=CC=2C=1,30.39,85.13,33.64,45.64,55.99,64.43,76.94,85.62,98.37
C#CC=Cc1ccccc1,92.27,92.65,35.4,45.77,54.38,61.26,71.3,78.25,88.49
C#Cc1ccccc1C#C,133.94,88.62,35.3,44.42,51.63,57.3,65.55,71.27,79.78
C=C1C=Cc2c1cccc2,57.68,84.45,32.79,43.81,53,60.36,71.06,78.4,89.09
CC1C=Cc2c1cccc2,32.15,85.59,34.93,46.93,57.06,65.23,77.21,85.52,97.79
C1C=CC2C=CC=CC=2C=1,35.83,79.57,31.34,42.52,51.94,59.51,70.53,78.05,88.95
C1=CC=CC=C1C=CC=C,49.42,93.88,36.39,47.88,57.73,65.72,77.51,85.71,97.86
c(cc1)ccc1CCc2ccc(cc2),32.76,110.6,50.64,67.31,81.19,92.37,108.9,120.46,137.65
c(cc1)ccc1C(OO)Cc2ccc(cc2),9.7,120.22,58.4,76.05,90.81,102.62,119.85,131.72,149.22
C(=C1)C=C(C=C1)C(=O)C(OO)C(C=C2)=CC(=C2),-13.93,124.97,58.38,75.75,90.24,101.74,118.25,129.4,145.5
CC1=CC=CC=C1CCC2=CC=CC=C2C,15.8,119.36,60.2,79.83,96.93,111.02,132.15,147.02,169.1
OOCc1cccc2c1cccc2,10.16,102.87,44.27,57.88,69.43,78.74,92.32,101.6,115.11
Cc1cccc2c1cccc2,27.83,88.76,37.55,49.83,60.28,68.78,81.38,90.15,103.04
O=Cc1cccc2c1cccc2,7.68,92.65,37.94,49.9,60.05,68.26,80.28,88.45,100.15
Oc1ccc2c(c1C)cccc2,-14.11,94.09,42.04,54.44,64.97,73.51,86.11,94.83,107.71
