SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
C(O1)OC(=O)C1CC,-129.26,88.69,30.29,38.46,45.69,51.71,60.78,67.2,76.73
CCC(OO)C(=O)CO,-119.44,101.72,40.57,49.62,57.41,63.87,73.71,80.82,91.76
CC(C)C=C,-6.62,80.29,26.55,33.51,39.62,44.76,52.84,58.93,68.59
O=CC=C=CC=O,-9.62,84.49,25.67,30.76,35.17,38.83,44.42,48.36,54.14
COC(=O)C1C(O1)C,-107.48,93.87,32.14,39.56,46.25,51.87,60.44,66.58,75.83
CC(C)C(=O)C(OO)O,-128.12,101.88,41.49,50.52,58.03,64.16,73.5,80.3,90.93
C1CCCC1,-18.2,68.11,18.96,27.15,34.65,40.99,50.75,57.83,68.64
C1OC(=O)CC(O1)C,-130.23,84.59,29.56,37.97,45.38,51.56,60.91,67.54,77.37
CC(C)C(OO)C(=O)O,-141.46,96.82,39.31,48.79,56.86,63.47,73.46,80.62,91.63
CC=C(C)C,-9.56,79.14,25.17,31.51,37.52,42.8,51.34,57.82,68.04
COC(=O)C1CC(O1),-103.79,93.48,29.31,37.17,44.42,50.54,59.85,66.45,76.28
C(=O)C(C)C(OO)CO,-116.69,96.2,38.47,48.03,56.33,63.19,73.6,81.05,92.4
CCC(=C)C,-8.03,80.75,26.61,33.3,39.4,44.59,52.78,58.91,68.61
COC(=O)CC1C(O1),-105.08,98.59,31.19,38.43,45.15,50.86,59.65,65.97,75.5
C(=O)C(C)CC(OO)O,-124.7,97.34,38.86,48.47,56.77,63.6,73.91,81.28,92.5
O=CCC(C=C)OO,-44.21,97.9,34.7,41.91,48.33,53.69,61.89,67.8,76.83
C(OO)C(C)CC(=O)O,-143.26,95.75,38.18,47.93,56.31,63.21,73.62,81.05,92.38
C(OO)C(C)C(=O)CO,-120,100.03,39.81,49.04,57.12,63.83,74.01,81.32,92.5
CC(=O)CCC(OO)O,-132.12,100.57,37.82,47.37,55.74,62.68,73.21,80.74,92.21
CC(=O)CC(OO)CO,-123.91,97.78,38.32,47.76,56.04,62.92,73.37,80.85,92.26
CC(=O)C(OO)CCO,-121.98,98.99,38.9,48.14,56.3,63.11,73.47,80.91,92.26
O=CC=C(C=O)C,-50.59,85.19,28.05,33.53,38.6,42.95,49.74,54.62,61.9
CC(OO)CCC(=O)O,-145.17,95.82,38.24,47.97,56.32,63.19,73.57,81,92.33
OC=CC(=C)C=O,-42.85,83.66,27.89,34.29,39.76,44.27,51.08,55.92,63.25
CC(OO)CC(=O)CO,-122.98,97.71,39.13,48.63,56.83,63.6,73.86,81.21,92.45
C1CC(=O)C(O2)C12,-45.48,75.81,23.36,30.9,37.37,42.6,50.29,55.58,63.31
CC(OO)C(=O)CCO,-122.03,99.05,39.51,48.79,56.87,63.56,73.76,81.09,92.34
CCCCC,-34.69,84.15,28.59,35.94,42.83,48.82,58.41,65.67,77.16
C12CC(=O)C(O2)C1,-35.02,76.08,22.62,30.57,37.27,42.61,50.36,55.66,63.36
CC(C)(OO)CC(=O)O,-147.78,93.85,39.65,49.36,57.42,63.96,73.76,80.81,91.69
CCC(C)C,-36.42,83.21,28.74,36.39,43.37,49.35,58.84,65.99,77.31
C12CC(=O)CC1(O2),-48.13,78.44,23.53,31.11,37.58,42.79,50.44,55.7,63.39
CC(C)(C)C,-40.37,72.27,29.44,37.67,44.86,50.83,60.05,66.91,77.78
C1C2C(=O)C(O2)C1,-33.1,76.9,22.79,30.59,37.23,42.54,50.28,55.59,63.32
C(=O)C(C)(OO)CCO,-119.23,98.93,39.5,48.96,57.09,63.81,73.99,81.3,92.5
OCC1=CC=CO1,-52.15,82.87,25.17,31.93,37.73,42.42,49.33,54.14,61.36
C(=O)C(COO)CCO,-115.94,94.81,37.06,46.91,55.58,62.78,73.7,81.46,93.17
CC1=CC=C(O)O1,-59.41,81.56,26.58,32.72,38.12,42.6,49.34,54.12,61.35
C(=O)CCC(OO)CO,-117.96,97.82,37.79,47.57,56.14,63.25,74.01,81.66,93.24
CC=C=CC(=O)O,-50.94,84.71,28.08,34.19,39.41,43.73,50.32,55.07,62.32
C(=O)C(OO)CCCO,-114.52,99.15,38.06,47.71,56.21,63.28,73.99,81.62,93.18
O=CC=C=CCO,-24.74,88.32,30.24,35.34,39.89,43.81,49.98,54.53,61.57
C(OO)C(=O)CCCO,-118.62,97.98,37.78,47.54,56.1,63.19,73.92,81.56,93.14
C1(=O)C=CC=C1,13.85,69.27,19.64,25.39,30.1,33.83,39.23,42.93,48.35
OCC(=O)C=C=C,-31.89,85.15,28.5,34.86,40.25,44.66,51.34,56.12,63.38
C(OO)CC(=O)CCO,-119.44,99.71,38.76,48.55,56.92,63.75,73.99,81.3,92.47
CC(=O)C=C=CO,-31.32,84.96,29.39,35.61,40.56,44.52,50.5,54.87,61.68
C(=O)CC(OO)CCO,-115.59,99.21,40.27,49.9,57.82,64.29,74.19,81.39,92.52
CC(=O)C=CC=O,-53.65,87.39,28.79,34.29,39.27,43.51,50.06,54.79,61.91
C(OO)CCC(=O)CO,-122.06,98.73,38.11,47.78,56.27,63.34,74.03,81.65,93.2
C1=CC(OO)C=C1,17.84,81.69,25.71,32.96,39,43.79,50.7,55.46,62.57
CCC(C)(OO)C(=O)O,-144.55,96.82,39.96,49.25,57.13,63.61,73.45,80.56,91.55
CC(OO)C(C)C(=O)O,-143.6,96.86,39.32,48.62,56.59,63.16,73.15,80.36,91.47
OOCCC(C)C(=O)O,-142.84,95.52,38.03,47.87,56.31,63.24,73.65,81.08,92.38
CCC(COO)C(=O)O,-139.84,97.76,38.42,47.96,56.24,63.1,73.49,80.93,92.29
CC(=O)C(C)C(OO)O,-131.57,97.35,39.41,48.77,56.81,63.42,73.42,80.6,91.63
CC(=O)C(C)(OO)CO,-126.62,97.74,40.24,49.56,57.66,64.37,74.59,81.95,93.24
OOCC(=O)C(C)CO,-118.81,98.42,39.36,48.68,56.81,63.55,73.78,81.14,92.39
CC(=O)C(COO)CO,-122.16,97.64,38.06,47.48,55.78,62.7,73.22,80.77,92.24
O=CCC(C)C(OO)O,-125.82,97.6,38.79,48.37,56.66,63.5,73.84,81.24,92.51
O=CCC(C)(OO)CO,-121.58,94.91,39.28,48.83,57,63.74,73.93,81.25,92.46
O=CC(OO)C(C)CO,-115.34,98.78,38.66,48.34,56.69,63.56,73.91,81.3,92.54
O=CCC(COO)CO,-114.25,97.73,37.24,47.06,55.71,62.9,73.76,81.49,93.15
CCC(C=O)C(OO)O,-122.81,103.3,39.43,48.66,56.71,63.37,73.46,80.68,91.72
CCC(C=O)(OO)CO,-117.29,100.65,40.61,49.67,57.48,63.93,73.75,80.84,91.75
CC(OO)C(C=O)CO,-118.3,96.3,38.65,48.14,56.39,63.23,73.61,81.05,92.4
OC1=CC=CC1,-8.33,71.36,23.55,30.27,35.69,39.94,46.11,50.44,57.05
OOCCC(C=O)CO,-115.43,97.68,37.5,47.27,55.86,63.01,73.82,81.52,93.15
OC1=CCC=C1,-9.13,71.38,23.49,30.22,35.64,39.89,46.07,50.41,57.03
C=CC(=C)C=O,0.02,80.09,24.32,30.13,35.2,39.4,45.76,50.3,57.17
C1CC(=O)C=C1,-21.89,73.57,21.11,27.78,33.56,38.28,45.34,50.3,57.67
C1C(=O)CC=C1,-18.07,72.23,21.44,28.14,33.88,38.56,45.54,50.46,57.76
C=CCC=C=O,4.79,81.13,25.19,30.76,35.52,39.46,45.56,50.03,56.95
CC(=CCO)C=O,-66.85,93.62,30.01,36.05,41.82,46.86,54.83,60.7,69.75
C=CC(=O)C=C,-0.56,78.47,24.08,30.15,35.39,39.66,45.98,50.37,56.86
OOCC(=CCO)C,-61.85,107.83,38.13,45.35,51.95,57.6,66.45,73,83.31
C#CC(C)C=O,15.67,80.66,25.71,31.21,35.84,39.68,45.67,50.1,56.97
OCC(C(=C)C)OO,-67.42,94.33,37.3,46.39,54,60.11,69.22,75.8,86.14
CC1=CC=CO1,-18.28,73.57,21.1,27.49,33.09,37.7,44.57,49.41,56.66
OC=CC(OO)(C)C,-71.86,97.14,40.34,48.29,55.08,60.63,69.03,75.17,84.88
OOC(C=C(C)C)O,-74.33,102.64,37.77,45.71,52.75,58.66,67.81,74.52,85.04
CC=C=CC=O,9.68,82.47,24.84,30.1,34.81,38.84,45.16,49.8,56.89
C=C(COO)CCO,-65.78,92.56,34.85,44.15,52.25,58.95,69.09,76.37,87.52
CC(=O)CC#C,10.13,83.11,25.59,30.91,35.39,39.12,44.93,49.24,56.01
C=C(C=O)CCO,-66.71,87.79,31.98,38.6,44.38,49.25,56.83,62.41,71.1
CCCC(OO)C=O,-75.69,97.25,35.32,44.07,51.96,58.64,68.95,76.41,87.75
C1(O)C=CC=C1,-1.03,71.79,23.63,30.07,35.29,39.47,45.66,50.06,56.82
O=CC1OC1(C)C,-59.76,85.5,29.85,36.76,42.9,48.1,56.19,62.1,71.12
CCCC(=O)COO,-79.5,96.52,35.88,44.46,52.01,58.35,68.11,75.21,86.12
C=CC=CC=O,-2.61,78.86,24.03,29.78,34.9,39.2,45.81,50.56,57.76
OOCC(=C)C=C,1.72,88.86,30.41,37.95,44.46,49.82,57.92,63.75,72.71
CCC(=O)CCOO,-81.69,95.64,36.59,44.56,51.8,58.01,67.74,74.89,85.92
C=C=CC(=O)C,4.91,80.55,24.72,30.31,35.14,39.16,45.37,49.91,56.89
OOCC=CC=C,2.26,91.83,32.01,38.55,44.45,49.42,57.06,62.62,71.21
CCC(OO)CC=O,-78.16,93.01,34.45,43.46,52.28,61.08,75.99,83.11,88.33
OOC(C=C)C=C,5.75,91.72,32.03,38.74,44.66,49.61,57.17,62.66,71.2
CCC(=O)C(OO)C,-83.27,98.66,36.86,44.88,52.03,58.09,67.52,74.45,85.19
OOC1CC=CC1,-12.93,83.32,27.56,35.8,42.96,48.78,57.43,63.52,72.69
CCC(OO)C(=O)C,-83.54,97.76,36.53,44.93,52.24,58.34,67.74,74.62,85.29
OOC1CCC=C1,-13.55,82.33,27.23,35.58,42.79,48.66,57.35,63.46,72.66
CC(C)C(OO)C=O,-77.48,93.06,35.94,44.63,52.22,58.56,68.29,75.36,86.21
O=CCCCC=O,-74.17,93.83,38.02,43.45,47.47,50.96,57.01,61.92,69.97
CC(OO)CC(=O)C,-86.01,94.21,35.43,44.11,51.72,58.08,67.87,74.99,85.96
COC(=O)C=CC,-82.31,86.68,29.5,35.95,41.98,47.21,55.44,61.49,70.74
CC(OO)(C)CC=O,-82.81,90.84,36.68,45.51,53.02,59.22,68.7,75.61,86.29
COC(=O)CC=C,-77.35,94.2,29.65,35.73,41.56,46.65,54.72,60.67,69.81
C(OO)C(C)CC=O,-78.72,92.51,35.04,43.98,51.86,58.44,68.55,75.86,86.99
C(=O)CC(=O)CC,-79.63,93.42,31.61,37.79,43.29,48.06,55.7,61.41,70.26
C(OO)CCC(=O)C,-85.19,93.35,34.37,43.23,51.15,57.81,68.04,75.44,86.72
CC(=O)CC(=O)C,-87.5,92.09,30.92,36.89,42.51,47.41,55.22,61.04,70.02
CC(OO)CCC=O,-80.74,92.51,35.13,44.03,51.85,58.41,68.49,75.79,86.93
C(OO)CCCC=O,-76.21,92.55,33.98,43.11,51.28,58.14,68.66,76.23,87.67
CC(CCOO)C=O,-78.09,92.19,34.89,43.91,51.83,58.44,68.55,75.85,86.97
CC(C=O)C(C)OO,-78.63,95.96,39.95,47.46,53.73,59.16,67.98,74.69,85.28
CCC(C)(C=O)OO,-80.11,97,37.62,45.8,52.94,58.92,68.17,74.95,85.46
CCC(C=O)COO,-74.92,96.17,36.88,45.27,52.67,58.9,68.52,75.53,86.32
CCC(C1CO1)OO,-56.07,94.54,34.96,43.9,51.8,58.35,68.24,75.33,86.17
CC(CC1CO1)OO,-57.76,90.81,34.07,43.43,51.6,58.34,68.51,75.79,86.87
C(CC1CO1)COO,-53.41,91.63,33.03,42.56,51.03,58.05,68.66,76.2,87.6
CCC1C(CO1)OO,-56.2,96.85,35.04,43.89,51.8,58.38,68.32,75.44,86.26
CC(C1CCO1)OO,-59.58,90.67,33.16,42.55,50.84,57.71,68.11,75.53,86.78
C1COC1CCOO,-57.14,88.2,31.53,41.4,50.16,57.4,68.3,76,87.56
CC1CC(CO1)OO,-76.29,90.48,33.3,42.75,51.07,57.94,68.3,75.68,86.85
CC1C(CCO1)OO,-76.41,86.99,31.04,40.58,49.16,56.34,67.29,75.21,87.67
C1CC(COO)OC1,-73.47,85.39,29.35,39.21,47.98,55.25,66.2,73.94,85.53
C1CC(COC1)OO,-75.14,88.38,31.82,41.4,50.01,57.22,68.14,75.89,87.5
C1COCCC1OO,-75.9,88.13,31.68,41.38,50.04,57.26,68.16,75.89,87.48
CCC1C(COO)O1,-54.71,92.54,33.99,43.27,51.42,58.17,68.4,75.73,86.87
CC1C(C(C)OO)O1,-59.43,96.7,35.21,43.92,51.61,58.04,67.9,75.03,85.98
CC1C(CCOO)O1,-57.38,92.01,33.65,42.73,50.86,57.65,68,75.43,86.7
CC1CC(COO)O1,-61.44,88.67,33.07,42.91,51.39,58.31,68.63,75.95,87.01
CC1C(C(C)O1)OO,-62.17,96.07,35.96,44.74,52.4,58.72,68.27,75.12,85.62
C1(O)CC(OO1)CC,-86.36,89.76,35.16,44.57,52.35,58.7,68.36,75.36,86.14
CC1(O)CC(OO1)C,-92.95,90.5,34.33,43.8,51.87,58.42,68.17,75.09,85.61
C(OO1)CC1(O)CC,-88.02,92,33.59,43.25,51.59,58.35,68.29,75.25,85.73
CCC1(COC1)OO,-56.62,92.44,34.46,43.54,51.6,58.3,68.49,75.79,86.89
CC(C1COC1)OO,-55.38,87.94,32.85,42.48,50.9,57.83,68.24,75.65,86.86
C(COO)C1COC1,-50.29,88.59,31.58,41.35,50.07,57.32,68.24,75.97,87.57
CCC1(CO1)COO,-57.11,93.44,34.79,43.85,51.72,58.22,68.1,75.21,86.1
CC(C1(C)CO1)OO,-62.28,96.69,35.15,44.02,51.75,58.18,67.99,75.09,86
CC1(CCOO)CO1,-59.45,89.38,34.13,43.46,51.58,58.29,68.45,75.74,86.86
CC1C(CO1)COO,-56.34,88.71,32.88,42.59,51.06,58.01,68.42,75.8,86.95
CC1C(C)(CO1)OO,-61.4,95.78,37.07,45.64,52.97,59.03,68.28,74.98,85.34
CC(=C)C=CO,-22.76,77.87,28.47,35.34,41.01,45.59,52.54,57.63,65.67
CC1COC1COO,-56.34,89.4,32.96,42.54,50.91,57.82,68.23,75.65,86.87
CC1(CO1)C=C,-7.35,79.51,27.23,34.32,40.23,45.02,52.25,57.53,65.77
C1COCC1COO,-69.31,94.33,32.19,41.62,50.19,57.37,68.24,75.95,87.52
CC(=C)C1CO1,-5.3,82.34,26.26,33.18,39.18,44.12,51.66,57.14,65.61
CC1(CCOC1)OO,-75.99,92.02,33.42,42.86,51.15,58.01,68.34,75.7,86.85
CCC=CC(=O),-29.39,81.04,26.72,33.09,38.86,43.76,51.4,57,65.61
CC1COCC1OO,-72.06,91.46,33.21,42.42,50.67,57.55,67.99,75.45,86.74
C1CC(=O)CC1,-46.5,74.88,22.98,30.64,37.43,43.07,51.65,57.79,67.02
CC1C(C)(COO)O1,-60.79,93.02,35.27,43.84,51.47,57.88,67.76,74.94,85.94
C=CC=CCO,-15.49,83.36,27.53,33.97,39.57,44.24,51.5,56.85,65.27
CC1(C)C(COO)O1,-60.29,92.08,35.2,43.89,51.57,57.99,67.86,75.01,85.98
CC=CC=CO,-21.93,78.9,28.16,34.56,40.13,44.77,51.94,57.2,65.48
CC1(CCO1)COO,-61.53,89.29,33.5,43.06,51.36,58.19,68.47,75.8,86.92
C=CC(C)C=O,-25.12,88.22,28.45,33.9,39.02,43.49,50.69,56.11,64.6
CC1(C)C(CO1)OO,-62.86,91.37,35.68,44.78,52.6,59.01,68.68,75.63,86.3
CCC(=O)C=C,-31.32,83.2,28.81,34.47,39.67,44.19,51.35,56.67,64.93
CC(COO)C1CO1,-55.47,91.17,34.08,43.34,51.49,58.23,68.44,75.75,86.87
CC(=O)C=CC,-35.11,82.72,26.71,32.75,38.33,43.16,50.8,56.48,65.27
CC(C)(C1CO1)OO,-60.61,89.73,35.62,44.89,52.73,59.11,68.71,75.61,86.25
C=CC(C)=CO,-22.44,79.68,26.97,33.6,39.39,44.19,51.55,56.92,65.32
CC(COO)C(C)=O,-82.83,93.53,35.89,44.35,51.84,58.14,67.89,75,85.97
C1C(O2)C2CC1,-22.3,73.68,21.42,29.58,36.79,42.7,51.53,57.73,66.99
CC(C(C)(C)OO)=O,-87.59,94.45,36.8,45.03,52.19,58.2,67.53,74.4,85.1
C1C(O2)CC2C1,-12.46,71.85,20.51,29.1,36.58,42.63,51.55,57.76,67
CC(C)C(COO)=O,-80.57,97.89,36.31,44.57,51.84,57.96,67.45,74.4,85.18
C=CCCC(=O),-23.98,84.98,28.97,34.45,39.5,43.99,51.3,56.82,65.46
CC(C)(C=O)COO,-77.64,98.46,38.56,46.22,52.97,58.68,67.62,74.25,84.62
CC=CCC(=O),-25.85,88.53,26.89,32.68,38.06,42.74,50.24,55.85,64.53
CC1(COC1)COO,-54.81,87.28,33.19,42.64,50.94,57.8,68.2,75.62,86.86
CC(C)C=C=O,-28.38,79.84,27.31,34.19,40.04,44.84,52.17,57.53,65.85
C(O1)OC(=O)C1C(OO)C,-151.07,96.91,37.55,46.95,55.08,61.73,71.61,78.5,88.65
C=C(C)C(C)=O,-35.91,81.02,27.23,33.3,38.78,43.49,50.98,56.56,65.27
C(O1)OC(=O)C1CC(OO),-151.54,95.92,35.78,45.6,54.16,61.2,71.63,78.85,89.39
CC(=O)CC=C,-30.65,92.1,26.08,32.3,37.93,42.73,50.26,55.82,64.45
COC(=O)CCC,-108.76,95.01,33.23,39.94,46.42,52.1,61.2,68.01,78.61
C(O1)OC(=O)C(OO)C1C,-146.6,95.21,37.06,46.51,54.68,61.39,71.39,78.37,88.62
CC=C(C=O)C,-33.44,83.47,25.32,31.5,37.26,42.27,50.23,56.1,65.13
CCCC(O1)C1O,-77.16,95.9,32,40.1,47.2,53.09,62.1,68.67,78.86
C(O1)OC(=O)CC1C(OO),-146.9,96.47,34.82,44.18,52.4,59.18,69.28,76.3,86.6
C=C(C)CC=O,-26.96,87.63,27.97,33.49,38.69,43.24,50.55,56.03,64.58
CCC1CC(O1)O,-84.26,86.55,30.25,39.01,46.74,53.14,62.83,69.78,80.43
C(OO)OC(=O)C(O1)C1C,-130.33,100.3,40.62,49.01,56.19,62.19,71.38,77.94,87.82
CC(C)=CC=O,-31.7,82.53,26.52,32.45,38,42.85,50.59,56.35,65.24
CCC1C(O1)CO,-74.47,90.72,31.76,40.24,47.56,53.57,62.7,69.35,79.66
COC(=O)C(O1)C1C(OO),-125.68,99.43,37.91,46.91,54.86,61.47,71.36,78.3,88.54
CC(C)C1C(O1)O,-79.94,92.44,33.03,41.16,48.16,53.91,62.65,69.03,79.01
C(OO)OC(=O)C(O1)CC1,-128.44,101.77,39.02,47.93,55.66,62.1,71.78,78.59,88.69
CC1CCC(O1)O,-102.78,83.07,29.12,38.27,46.3,52.93,62.95,70.13,81.06
COC(=O)C(O1)C(OO)C1,-124.18,106.32,37.33,46.19,54.13,60.72,70.57,77.44,87.6
CC1CC(O1)CO,-78.66,84.62,30.07,39.39,47.46,54,63.64,70.44,80.78
C(OO)OC(=O)CC(O1)C1,-132.54,99.56,36.96,46.69,55.1,61.97,72.1,79.11,89.43
C1C(C)CC(O1)O,-100.11,83.01,30.43,39.52,47.26,53.57,63.08,69.92,80.46
COC(=O)C(OO)C(O1)C1,-124.68,100.85,38.08,47.11,55.09,61.68,71.51,78.37,88.54
C1C(C)C(O1)CO,-75.47,85.51,30.15,39.16,47.11,53.62,63.34,70.22,80.69
C(OO)OC(=O)C(=O)CC,-149.63,106.69,44.68,51.84,57.85,62.96,71.04,77.04,86.33
CC1C(O1)CCO,-75.44,86.11,30.5,39.05,46.7,53.13,62.99,70.12,81.05
C(OO)OC(=O)CC(=O)C,-160.41,102.86,38.59,47.56,55.36,61.81,71.52,78.37,88.55
CC1(C)CC(O1)O,-89.96,84.39,31.04,39.84,47.63,54.12,64,71.12,82.03
C(=O)OC(=O)C(OO)CC,-158.94,106.23,41.9,50.83,58.17,64,72.51,78.5,87.6
CC1(C)C(O1)CO,-77.07,92.66,33.34,40.76,47.44,53.1,61.93,68.46,78.66
COC(=O)C(OO)C(=O)C,-153.82,103.82,39.48,47.76,55.14,61.35,70.8,77.53,87.61
C1C(C)(O1)CCO,-76.05,85.02,30.54,39.25,46.95,53.37,63.17,70.25,81.11
COC(=O)C(OO)CC(=O),-149.31,101.79,39.13,47.77,55.42,61.83,71.53,78.38,88.58
C1C(CO1)CCO,-67.87,85.12,29.33,38.8,47.06,53.74,63.54,70.41,80.78
C(=O)OC(=O)CC(OO)C,-161.89,105.05,40.54,49.54,57.12,63.26,72.35,78.71,88.24
C1C(O1)CCCO,-71.37,83.9,30.53,39.91,47.93,54.4,64.01,70.87,81.41
COC(=O)C(=O)C(OO)C,-147.51,106.22,42.01,49.81,56.54,62.2,70.94,77.28,86.94
C1CC(O1)CCO,-73.13,85.74,28.38,37.56,45.82,52.7,63.14,70.58,81.84
COC(=O)CC(OO)C(=O),-149.99,103.44,39.02,47.66,55.33,61.75,71.47,78.35,88.57
C1CCC(O1)CO,-91.42,82.42,28.78,38.23,46.49,53.23,63.27,70.41,81.24
COC(=O)C(=O)CC(OO),-148.17,101.1,38.88,47.53,55.18,61.58,71.31,78.19,88.45
CCC1(C)C(O1)O,-82.83,94.31,32.53,40.32,47.19,52.95,61.86,68.41,78.67
COC(=O)CC(=O)C(OO),-152.46,104.21,39.59,48.12,55.72,62.04,71.52,78.16,88.01
CC1C(C)C(O1)O,-85.59,87.97,31.68,40.08,47.42,53.5,62.73,69.41,79.73
C1CC(C)C(O1)O,-100.35,82.95,30.34,39.61,47.38,53.64,63.06,69.86,80.38
CCC(C1)C(O1)O,-80.71,86.5,30.18,38.79,46.48,52.9,62.65,69.67,80.38
CC1C(C)(O1)CO,-79.38,89.86,31.86,39.78,46.88,52.86,62.1,68.86,79.39
C1CC(C)(O1)CO,-79.49,83.79,30.54,39.74,47.72,54.2,63.78,70.53,80.82
CCC(C1)(O1)CO,-74.89,87.79,33.09,42.82,50.25,55.79,63.92,69.99,79.83
C1C(O1)C(C)CO,-71.52,90.07,34.04,41.77,48.7,54.53,63.46,69.94,80
CC(O1)C(C1)CO,-72.62,85.43,30.87,39.14,46.53,52.76,62.39,69.41,80.21
C(O1)CC(C1)CO,-88.79,79.05,25.65,34.89,43.24,50.23,60.82,68.37,79.74
C1C(OO)CCC1,-41.46,85.23,28.58,37.79,46.01,52.81,63.04,70.3,81.26
C=C(C)COOC,-19.77,93.35,33.77,41.2,48.01,53.87,63.1,69.94,80.56
C=CC(C)OOC,-20.07,95.88,35.7,42.63,48.96,54.37,62.89,69.24,79.22
CC=CCOOC,-18.81,92.76,33.65,40.84,47.46,53.18,62.29,69.07,79.64
C=CC(CC)OO,-26.52,96.88,35.47,42.96,49.46,54.88,63.26,69.45,79.22
C=CCC(C)OO,-27.22,92.06,37.03,45.13,51.62,56.8,64.69,70.6,80.16
C=CCCCOO,-23.56,88.75,33.73,42.54,49.72,55.53,64.44,71.03,81.42
CCC=CCOO,-24.33,97.45,34.82,41.89,48.32,53.82,62.46,68.88,78.96
CC=CC(C)OO,-29.51,94.64,36.28,43.31,49.47,54.7,62.97,69.18,79.06
CC=CCCOO,-25.2,94.38,36.1,43.19,49.42,54.73,63.17,69.56,79.71
CCC(=C)COO,-25.1,94.11,33.92,42.08,49.11,54.88,63.65,70.04,80.02
C=C(C)C(C)OO,-30.59,89.86,33.64,41.5,48.42,54.23,63.27,69.95,80.4
C=C(C)CCOO,-26.77,92.26,38.38,45.58,51.32,56.16,63.98,70.04,79.87
CC=C(C)COO,-27.32,96.53,33.67,40.85,47.42,53.03,61.85,68.4,78.69
CC(C)=CCOO,-27.88,90.66,32.77,40.48,47.45,53.4,62.69,69.55,80.23
C=CC(C)COO,-24.74,93.04,36.61,44.84,51.4,56.58,64.48,70.43,80.07
C=CC(C)(C)OO,-30.48,92.92,35.65,43.33,49.93,55.35,63.63,69.72,79.34
OC(OO)CCCC,-101.07,106.7,40.48,49.76,57.8,64.41,74.48,81.84,93.42
CCCC(OO)CO,-94.37,102.19,40.69,50.42,58.68,65.36,75.39,82.7,94.26
CCC(OO)CCO,-96.3,96.23,38.4,48.33,56.98,64.14,75.08,83.04,95.44
CC(C)CC(OO)O,-102.69,104.9,43.47,52.29,59.69,65.74,75,81.87,92.89
CC(C)C(OO)CO,-96.16,95.7,40.66,50.45,58.65,65.31,75.46,82.93,94.79
CC(C)=CCO,-44.32,90.11,30.47,36.56,42.47,47.71,56.16,62.56,72.73
CC(C)(OO)CCO,-101.07,91.79,38.56,48.52,57.07,64.15,74.99,82.92,95.33
C=CCCCO,-41.27,82.87,31.19,38.85,45.25,50.55,58.83,65.04,74.95
CC(COO)CCO,-94.32,93.14,38.58,48.69,57.44,64.62,75.48,83.36,95.62
CC=CCCO,-43.89,87.4,34.15,40.5,45.98,50.67,58.23,64.04,73.48
CC(OO)CCCO,-97.07,92.6,37.22,47.32,56.21,63.63,75,83.26,96.03
CCC=CCO,-42.23,90.35,31.81,37.96,43.64,48.65,56.78,62.99,72.93
C(OO)CCCCO,-92.27,95.56,36.48,46.59,55.7,63.38,75.17,83.71,96.8
CCCC=CO,-45.34,88.83,31.22,38.35,44.56,49.74,57.81,63.83,73.42
CCC(C)C(OO)O,-102.33,101.96,40.94,50.25,58.07,64.49,74.35,81.65,93.24
CCCCC=O,-54.35,87.92,30.31,36.72,42.89,48.33,57.13,63.76,74.09
CCC(C)(OO)CO,-99.3,99.84,41.79,51.41,59.51,66.02,75.76,82.87,94.23
CCCC1C(O1),-32.4,87.67,27.78,35.46,42.39,48.22,57.24,63.86,74.11
CC(OO)C(C)CO,-97.29,94.85,38.16,47.79,56.29,63.44,74.48,82.57,95.17
OOCCC(C)CO,-94.3,93.01,38.71,48.78,57.51,64.67,75.52,83.38,95.62
CCC1CC(O1),-35.34,82.6,26.33,34.54,41.95,48.15,57.64,64.51,74.99
CCC(COO)CO,-92.91,93.77,37.14,47.25,56.18,63.63,75.04,83.32,96.1
CCC1C(O1)C,-37.75,86.21,28.49,35.96,42.66,48.33,57.21,63.79,74.04
CCC(O)CCOO,-96.17,96.51,37.88,47.75,56.5,63.79,74.93,83,95.47
CC1CC(O1)C,-40.92,79.31,24.88,33.07,40.39,46.49,55.83,62.61,73.01
CC(O)CC(C)OO,-100.77,93.48,38.18,48.19,56.83,63.99,74.93,82.91,95.35
CC(C)C=CO,-47.36,84.19,31.46,38.82,45.04,50.15,58.07,63.99,73.46
C1CC(=O)C(=O)C1(OO),-81.98,91.65,32.54,40.53,47.28,52.76,60.85,66.44,74.59
CC(C)CC=O,-56.43,84.5,30.02,36.9,43.24,48.72,57.44,63.98,74.2
C1(OO)CC(=O)C(=O)C1,-85.59,91.82,32.88,40.99,47.76,53.2,61.16,66.64,74.66
C=C(C)CCO,-45.7,83.06,29.07,36.78,43.55,49.22,58.01,64.5,74.71
C1CC(=O)C(OO)C1(=O),-85.65,93.19,32.62,40.74,47.53,53.01,61.05,66.58,74.66
CC1CCC(O1),-53.81,77.69,25.24,33.66,41.26,47.66,57.52,64.66,75.54
C1(OO)CC(=O)CC1(=O),-89.96,92.3,32.74,40.86,47.64,53.11,61.13,66.65,74.71
CCC(C)=CO,-47.98,89.15,29.9,36.9,43.14,48.44,56.79,63.06,73
CC=C(C)CO,-45.06,89.25,30.2,36.71,42.73,47.96,56.33,62.68,72.77
C=CC(C)CO,-43.72,84.79,33.51,40.74,46.41,51.1,58.66,64.53,74.13
